구,점포수,총면적,구별_점포밀도
서대문구,12420.0,141935876.0,0.0001
강동구,15063.0,209376200.0,0.0001
송파구,27480.0,423385508.0,0.0001
강남구,41518.0,464266971.0,0.0001
서초구,23900.0,299334960.0,0.0001
관악구,15118.0,208150305.0,0.0001
동작구,11520.0,168439974.0,0.0001
영등포구,22167.0,260177187.0,0.0001
금천구,11199.0,217581218.0,0.0001
구로구,14003.0,222867312.0,0.0001
강서구,17902.0,306227968.0,0.0001
양천구,10554.0,170827911.0,0.0001
마포구,32260.0,270053604.0,0.0001
종로구,27303.0,263001222.0,0.0001
은평구,12336.0,212072087.0,0.0001
노원구,10530.0,112500239.0,0.0001
강북구,10202.0,147245156.0,0.0001
중랑구,11743.0,194998152.0,0.0001
성북구,12420.0,193622406.0,0.0001
동대문구,14575.0,201316649.0,0.0001
광진구,15222.0,197168033.0,0.0001
성동구,13753.0,166130641.0,0.0001
용산구,20105.0,247699418.0,0.0001
중구,27718.0,265811048.0,0.0001
도봉구,7652.0,157193178.0,0.0
