gu,age,total_sales
강남구,TEENS,47625294951.0
강남구,TWENTIES,1144488493967.0
강남구,THIRTIES,2393859198572.0
강남구,FORTIES,2780717398440.0
강남구,FIFTIES,2125701262663.0
강남구,SIXTIES_PLUS,1362219685776.0
강동구,TEENS,10979795354.0
강동구,TWENTIES,184614378390.0
강동구,THIRTIES,420357768328.0
강동구,FORTIES,647787106890.0
강동구,FIFTIES,611332446962.0
강동구,SIXTIES_PLUS,704126542214.0
강북구,TEENS,6524569810.0
강북구,TWENTIES,139643615927.0
강북구,THIRTIES,223364043842.0
강북구,FORTIES,268259920879.0
강북구,FIFTIES,336193971084.0
강북구,SIXTIES_PLUS,360462898164.0
강서구,TEENS,7183436988.0
강서구,TWENTIES,199089974629.0
강서구,THIRTIES,445488243548.0
강서구,FORTIES,547661031166.0
강서구,FIFTIES,525976096232.0
강서구,SIXTIES_PLUS,641634368280.0
관악구,TEENS,10571458249.0
관악구,TWENTIES,300289029181.0
관악구,THIRTIES,396775251298.0
관악구,FORTIES,298045965439.0
관악구,FIFTIES,354304012129.0
관악구,SIXTIES_PLUS,384130094678.0
광진구,TEENS,16613251499.0
광진구,TWENTIES,312198189396.0
광진구,THIRTIES,400876854775.0
광진구,FORTIES,436617167081.0
광진구,FIFTIES,457258910107.0
광진구,SIXTIES_PLUS,373471303769.0
구로구,TEENS,6118940334.0
구로구,TWENTIES,181013347310.0
구로구,THIRTIES,398796201409.0
구로구,FORTIES,477496834143.0
구로구,FIFTIES,581058905335.0
구로구,SIXTIES_PLUS,497666470392.0
금천구,TEENS,6588988114.0
금천구,TWENTIES,305280803813.0
금천구,THIRTIES,872553064573.0
금천구,FORTIES,1079584638968.0
금천구,FIFTIES,1104101596499.0
금천구,SIXTIES_PLUS,1125785919273.0
노원구,TEENS,14738773424.0
노원구,TWENTIES,175808146501.0
노원구,THIRTIES,274612723300.0
노원구,FORTIES,442283591547.0
노원구,FIFTIES,481082988691.0
노원구,SIXTIES_PLUS,387062109692.0
도봉구,TEENS,3949344544.0
도봉구,TWENTIES,64654217617.0
도봉구,THIRTIES,129205350183.0
도봉구,FORTIES,207219181037.0
도봉구,FIFTIES,277659546735.0
도봉구,SIXTIES_PLUS,345225194327.0
동대문구,TEENS,8943351298.0
동대문구,TWENTIES,212001331396.0
동대문구,THIRTIES,525508240318.0
동대문구,FORTIES,781322198970.0
동대문구,FIFTIES,1131209760256.0
동대문구,SIXTIES_PLUS,2218236207894.0
동작구,TEENS,11478550293.0
동작구,TWENTIES,481497733218.0
동작구,THIRTIES,1050617181283.0
동작구,FORTIES,1026749701479.0
동작구,FIFTIES,1115594904018.0
동작구,SIXTIES_PLUS,1529423019588.0
마포구,TEENS,45134512194.0
마포구,TWENTIES,737107295624.0
마포구,THIRTIES,736143260958.0
마포구,FORTIES,555263711259.0
마포구,FIFTIES,558276757392.0
마포구,SIXTIES_PLUS,354951091899.0
서대문구,TEENS,12277688792.0
서대문구,TWENTIES,241132039926.0
서대문구,THIRTIES,244786744007.0
서대문구,FORTIES,262048108948.0
서대문구,FIFTIES,311643506073.0
서대문구,SIXTIES_PLUS,344500621805.0
서초구,TEENS,27337854741.0
서초구,TWENTIES,706376423629.0
서초구,THIRTIES,1221859723056.0
서초구,FORTIES,1319920309416.0
서초구,FIFTIES,1160154195775.0
서초구,SIXTIES_PLUS,858841538789.0
성동구,TEENS,11415625022.0
성동구,TWENTIES,257822766405.0
성동구,THIRTIES,333078226232.0
성동구,FORTIES,277847014749.0
성동구,FIFTIES,301031148834.0
성동구,SIXTIES_PLUS,289907855627.0
성북구,TEENS,13380125393.0
성북구,TWENTIES,175560189144.0
성북구,THIRTIES,201823730529.0
성북구,FORTIES,271984553644.0
성북구,FIFTIES,300125342034.0
성북구,SIXTIES_PLUS,284626054246.0
송파구,TEENS,34078818819.0
송파구,TWENTIES,870966300721.0
송파구,THIRTIES,1802968211624.0
송파구,FORTIES,1898075248899.0
송파구,FIFTIES,1664679887640.0
송파구,SIXTIES_PLUS,1566519781770.0
양천구,TEENS,8573196826.0
양천구,TWENTIES,93831206083.0
양천구,THIRTIES,228010228189.0
양천구,FORTIES,526440631232.0
양천구,FIFTIES,424354473510.0
양천구,SIXTIES_PLUS,354829673821.0
영등포구,TEENS,9711822472.0
영등포구,TWENTIES,414585679978.0
영등포구,THIRTIES,879725119366.0
영등포구,FORTIES,878593728876.0
영등포구,FIFTIES,1020367469885.0
영등포구,SIXTIES_PLUS,934249038551.0
용산구,TEENS,14058337583.0
용산구,TWENTIES,500746648334.0
용산구,THIRTIES,881337227297.0
용산구,FORTIES,788408404549.0
용산구,FIFTIES,810962149772.0
용산구,SIXTIES_PLUS,578312338743.0
은평구,TEENS,7941781613.0
은평구,TWENTIES,127081202185.0
은평구,THIRTIES,215832660181.0
은평구,FORTIES,298233133738.0
은평구,FIFTIES,336531131978.0
은평구,SIXTIES_PLUS,399606903123.0
종로구,TEENS,15964104877.0
종로구,TWENTIES,543722464158.0
종로구,THIRTIES,987627239312.0
종로구,FORTIES,870852136540.0
종로구,FIFTIES,931512907358.0
종로구,SIXTIES_PLUS,1081268110384.0
중구,TEENS,27113361191.0
중구,TWENTIES,629791372997.0
중구,THIRTIES,1214983401070.0
중구,FORTIES,1310926874830.0
중구,FIFTIES,1315364997671.0
중구,SIXTIES_PLUS,1766312865815.0
중랑구,TEENS,5883402727.0
중랑구,TWENTIES,107821263764.0
중랑구,THIRTIES,221706501403.0
중랑구,FORTIES,246595093360.0
중랑구,FIFTIES,335837675779.0
중랑구,SIXTIES_PLUS,433436779468.0
