gu,week,total_sales
강남구,MONDAY,1691439371961.0
강남구,TUESDAY,1814300487893.0
강남구,WEDNESDAY,1676179476088.0
강남구,THURSDAY,1771893295561.0
강남구,FRIDAY,1921337462810.0
강남구,SATURDAY,1584215786911.0
강남구,SUNDAY,901874826532.0
강동구,MONDAY,416456385395.0
강동구,TUESDAY,413288538765.0
강동구,WEDNESDAY,383154506005.0
강동구,THURSDAY,386732517752.0
강동구,FRIDAY,442657143562.0
강동구,SATURDAY,413236862881.0
강동구,SUNDAY,245158118695.0
강북구,MONDAY,198314362283.0
강북구,TUESDAY,201591540209.0
강북구,WEDNESDAY,190013518803.0
강북구,THURSDAY,195469090154.0
강북구,FRIDAY,226834398463.0
강북구,SATURDAY,229690905409.0
강북구,SUNDAY,146208814469.0
강서구,MONDAY,381252053350.0
강서구,TUESDAY,402905765730.0
강서구,WEDNESDAY,374664528752.0
강서구,THURSDAY,384252235155.0
강서구,FRIDAY,434330918844.0
강서구,SATURDAY,411883732280.0
강서구,SUNDAY,231509803712.0
관악구,MONDAY,265707624335.0
관악구,TUESDAY,262491811602.0
관악구,WEDNESDAY,251822672978.0
관악구,THURSDAY,252105954810.0
관악구,FRIDAY,291772352588.0
관악구,SATURDAY,293266459175.0
관악구,SUNDAY,191318594512.0
광진구,MONDAY,321095001847.0
광진구,TUESDAY,296620172802.0
광진구,WEDNESDAY,306776952635.0
광진구,THURSDAY,310861181897.0
광진구,FRIDAY,345417370248.0
광진구,SATURDAY,353801035831.0
광진구,SUNDAY,225535156243.0
구로구,MONDAY,413525162159.0
구로구,TUESDAY,403023069760.0
구로구,WEDNESDAY,380136802426.0
구로구,THURSDAY,409611404059.0
구로구,FRIDAY,424850525696.0
구로구,SATURDAY,269498524376.0
구로구,SUNDAY,167892037794.0
금천구,MONDAY,636390021599.0
금천구,TUESDAY,649772143524.0
금천구,WEDNESDAY,629734543137.0
금천구,THURSDAY,643941287201.0
금천구,FRIDAY,717590472086.0
금천구,SATURDAY,782444038625.0
금천구,SUNDAY,674863781706.0
노원구,MONDAY,270327523426.0
노원구,TUESDAY,274183865425.0
노원구,WEDNESDAY,252388494389.0
노원구,THURSDAY,262045116150.0
노원구,FRIDAY,301634686253.0
노원구,SATURDAY,302052376466.0
노원구,SUNDAY,175497635679.0
도봉구,MONDAY,159159143146.0
도봉구,TUESDAY,157727137491.0
도봉구,WEDNESDAY,144173987785.0
도봉구,THURSDAY,153573499295.0
도봉구,FRIDAY,172202432197.0
도봉구,SATURDAY,167378214397.0
도봉구,SUNDAY,105757151058.0
동대문구,MONDAY,771245168008.0
동대문구,TUESDAY,764214048484.0
동대문구,WEDNESDAY,707088240307.0
동대문구,THURSDAY,755348108080.0
동대문구,FRIDAY,823534359373.0
동대문구,SATURDAY,822202343674.0
동대문구,SUNDAY,513776858065.0
동작구,MONDAY,719591618487.0
동작구,TUESDAY,773809746102.0
동작구,WEDNESDAY,745812993284.0
동작구,THURSDAY,713374949318.0
동작구,FRIDAY,958235543946.0
동작구,SATURDAY,1309513528944.0
동작구,SUNDAY,765464400145.0
마포구,MONDAY,466563519746.0
마포구,TUESDAY,462484402651.0
마포구,WEDNESDAY,455122132555.0
마포구,THURSDAY,470242618570.0
마포구,FRIDAY,557511456363.0
마포구,SATURDAY,554750073100.0
마포구,SUNDAY,344113679022.0
서대문구,MONDAY,231480771244.0
서대문구,TUESDAY,237409347643.0
서대문구,WEDNESDAY,219171322364.0
서대문구,THURSDAY,224654769650.0
서대문구,FRIDAY,244086904678.0
서대문구,SATURDAY,223139396664.0
서대문구,SUNDAY,124723093380.0
서초구,MONDAY,980555799958.0
서초구,TUESDAY,1003335524634.0
서초구,WEDNESDAY,921948217301.0
서초구,THURSDAY,964236586130.0
서초구,FRIDAY,1096778075698.0
서초구,SATURDAY,791376876244.0
서초구,SUNDAY,349919472133.0
성동구,MONDAY,247956449523.0
성동구,TUESDAY,259690791572.0
성동구,WEDNESDAY,252857556894.0
성동구,THURSDAY,266263597389.0
성동구,FRIDAY,279755095339.0
성동구,SATURDAY,239030204067.0
성동구,SUNDAY,153182716124.0
성북구,MONDAY,196122988229.0
성북구,TUESDAY,197522538348.0
성북구,WEDNESDAY,185949634297.0
성북구,THURSDAY,191088046373.0
성북구,FRIDAY,212578343767.0
성북구,SATURDAY,207188032030.0
성북구,SUNDAY,121869118337.0
송파구,MONDAY,1267883236176.0
송파구,TUESDAY,1225266830759.0
송파구,WEDNESDAY,1245210421731.0
송파구,THURSDAY,1222286947621.0
송파구,FRIDAY,1388584450732.0
송파구,SATURDAY,1399651606274.0
송파구,SUNDAY,870671421233.0
양천구,MONDAY,260412751554.0
양천구,TUESDAY,253155614299.0
양천구,WEDNESDAY,240387019395.0
양천구,THURSDAY,245070228211.0
양천구,FRIDAY,277503953347.0
양천구,SATURDAY,272894899107.0
양천구,SUNDAY,161150987503.0
영등포구,MONDAY,742206404360.0
영등포구,TUESDAY,830988897801.0
영등포구,WEDNESDAY,787319453154.0
영등포구,THURSDAY,774421754832.0
영등포구,FRIDAY,811821228547.0
영등포구,SATURDAY,589975265359.0
영등포구,SUNDAY,376203678021.0
용산구,MONDAY,715238186641.0
용산구,TUESDAY,741321871464.0
용산구,WEDNESDAY,663347927685.0
용산구,THURSDAY,712002881968.0
용산구,FRIDAY,813020118051.0
용산구,SATURDAY,628617174585.0
용산구,SUNDAY,451238533274.0
은평구,MONDAY,216282084059.0
은평구,TUESDAY,222216305362.0
은평구,WEDNESDAY,201185989787.0
은평구,THURSDAY,208114840730.0
은평구,FRIDAY,237320960446.0
은평구,SATURDAY,232733048025.0
은평구,SUNDAY,134413775177.0
종로구,MONDAY,811683530409.0
종로구,TUESDAY,815392573498.0
종로구,WEDNESDAY,794902664359.0
종로구,THURSDAY,803934779554.0
종로구,FRIDAY,886247549450.0
종로구,SATURDAY,690388001256.0
종로구,SUNDAY,409603857250.0
중구,MONDAY,1145658329268.0
중구,TUESDAY,1266102120449.0
중구,WEDNESDAY,1205116240935.0
중구,THURSDAY,1213190243978.0
중구,FRIDAY,1295766983431.0
중구,SATURDAY,958981155363.0
중구,SUNDAY,509828014887.0
중랑구,MONDAY,203095216240.0
중랑구,TUESDAY,202112273660.0
중랑구,WEDNESDAY,188117444622.0
중랑구,THURSDAY,200951257032.0
중랑구,FRIDAY,233230280045.0
중랑구,SATURDAY,224472717993.0
중랑구,SUNDAY,146533526034.0
