gu,total_sales,total_shops,avg_sales_per_shop
동작구,5985802780226.0,179286.0,33386894.5719
동대문구,5157409125991.0,226002.0,22820192.4142
금천구,4734736287878.0,225996.0,20950531.3717
송파구,8619554914526.0,483750.0,17818201.3737
용산구,4724786693668.0,268872.0,17572624.4967
영등포구,4912936682074.0,300582.0,16344746.7981
강남구,11361240707756.0,772650.0,14704252.5176
서초구,6108150552098.0,428994.0,14238312.3123
종로구,5212152955776.0,429654.0,12131047.2049
강동구,2700684073055.0,249558.0,10821869.3572
성동구,1698736410908.0,160518.0,10582840.6217
강북구,1388122629790.0,132048.0,10512257.8895
노원구,1838129697788.0,176418.0,10419173.2011
서대문구,1504665605623.0,148644.0,10122612.4541
강서구,2620799037823.0,258924.0,10121885.3325
도봉구,1059971565369.0,106086.0,9991625.3358
광진구,2160106871503.0,221484.0,9752879.9891
관악구,1808485470000.0,193638.0,9339517.3984
마포구,3310787882007.0,358728.0,9229242.9975
성북구,1312318701381.0,149658.0,8768784.1704
중랑구,1398512715626.0,159546.0,8765576.7968
양천구,1710575453416.0,196326.0,8712933.8621
은평구,1452267003586.0,167136.0,8689133.4218
구로구,2468537526270.0,301740.0,8181008.5712
중구,7594643088311.0,1119846.0,6781863.8351
