gu,time,total_sales
강남구,00-06,297951013373.0
강남구,06-11,1112149371861.0
강남구,11-14,3072473517772.0
강남구,14-17,2697490971621.0
강남구,17-21,3175311975797.0
강남구,21-24,1005863857332.0
강동구,00-06,74942687307.0
강동구,06-11,311235065516.0
강동구,11-14,659429350870.0
강동구,14-17,650414401688.0
강동구,17-21,789462525377.0
강동구,21-24,215200042297.0
강북구,00-06,75082786954.0
강북구,06-11,145339298202.0
강북구,11-14,309223618989.0
강북구,14-17,317667362517.0
강북구,17-21,399568829867.0
강북구,21-24,141240733261.0
강서구,00-06,128348938059.0
강서구,06-11,350811185243.0
강서구,11-14,616737097721.0
강서구,14-17,589474944604.0
강서구,17-21,712409652273.0
강서구,21-24,223017219923.0
관악구,00-06,102515687146.0
관악구,06-11,162630984631.0
관악구,11-14,360234001026.0
관악구,14-17,385564984654.0
관악구,17-21,582438636241.0
관악구,21-24,215101176302.0
광진구,00-06,90891590307.0
광진구,06-11,185929178008.0
광진구,11-14,475396525241.0
광진구,14-17,498964270246.0
광진구,17-21,677527432185.0
광진구,21-24,231397875516.0
구로구,00-06,62074757871.0
구로구,06-11,326967068242.0
구로구,11-14,677469747032.0
구로구,14-17,637673977127.0
구로구,17-21,580553454337.0
구로구,21-24,183798521661.0
금천구,00-06,50028079737.0
금천구,06-11,456492755670.0
금천구,11-14,1402658107126.0
금천구,14-17,1513404252546.0
금천구,17-21,1158925136705.0
금천구,21-24,153227956094.0
노원구,00-06,63854313623.0
노원구,06-11,188526592338.0
노원구,11-14,450093482604.0
노원구,14-17,425126650507.0
노원구,17-21,548816002871.0
노원구,21-24,161712655845.0
도봉구,00-06,30110005871.0
도봉구,06-11,135468906296.0
도봉구,11-14,251330672652.0
도봉구,14-17,254941048211.0
도봉구,17-21,306205787369.0
도봉구,21-24,81915144970.0
동대문구,00-06,166613673625.0
동대문구,06-11,1154078445783.0
동대문구,11-14,1477530777765.0
동대문구,14-17,1401486536013.0
동대문구,17-21,798938993957.0
동대문구,21-24,158760698848.0
동작구,00-06,187896809521.0
동작구,06-11,930607061334.0
동작구,11-14,1283531721120.0
동작구,14-17,1339295007007.0
동작구,17-21,1939988378127.0
동작구,21-24,304483803117.0
마포구,00-06,166397595783.0
마포구,06-11,233660002818.0
마포구,11-14,744404163645.0
마포구,14-17,682554544235.0
마포구,17-21,1043901752967.0
마포구,21-24,439869822559.0
서대문구,00-06,47262687055.0
서대문구,06-11,175108946102.0
서대문구,11-14,381315180304.0
서대문구,14-17,349645266195.0
서대문구,17-21,426447690666.0
서대문구,21-24,124885835301.0
서초구,00-06,141484859066.0
서초구,06-11,713055851458.0
서초구,11-14,1773009675130.0
서초구,14-17,1381644126437.0
서초구,17-21,1572736306340.0
서초구,21-24,526219733667.0
성동구,00-06,51099059184.0
성동구,06-11,156702018072.0
성동구,11-14,437702388410.0
성동구,14-17,391272747900.0
성동구,17-21,502944078762.0
성동구,21-24,159016118580.0
성북구,00-06,48909301967.0
성북구,06-11,129038010442.0
성북구,11-14,306091355373.0
성북구,14-17,281223835104.0
성북구,17-21,411176506393.0
성북구,21-24,135879692102.0
송파구,00-06,726802020601.0
송파구,06-11,918625262473.0
송파구,11-14,1904741582123.0
송파구,14-17,2048670589313.0
송파구,17-21,2263326641406.0
송파구,21-24,757388818610.0
양천구,00-06,47617095910.0
양천구,06-11,177256911851.0
양천구,11-14,375691847773.0
양천구,14-17,409895108248.0
양천구,17-21,542389548803.0
양천구,21-24,157724940831.0
영등포구,00-06,174691695864.0
영등포구,06-11,708709074334.0
영등포구,11-14,1347770347541.0
영등포구,14-17,1071295050289.0
영등포구,17-21,1175821194073.0
영등포구,21-24,434649319973.0
용산구,00-06,176121085039.0
용산구,06-11,396526307068.0
용산구,11-14,1260602449534.0
용산구,14-17,1426480144883.0
용산구,17-21,1149391086423.0
용산구,21-24,315665620721.0
은평구,00-06,59498981871.0
은평구,06-11,168142250653.0
은평구,11-14,323523736031.0
은평구,14-17,328356668847.0
은평구,17-21,430884806640.0
은평구,21-24,141860559544.0
종로구,00-06,102257477145.0
종로구,06-11,510775967046.0
종로구,11-14,1522949413379.0
종로구,14-17,1382904804343.0
종로구,17-21,1299571600038.0
종로구,21-24,393693693825.0
중구,00-06,177124752891.0
중구,06-11,871593265148.0
중구,11-14,2407102669237.0
중구,14-17,1920056984905.0
중구,17-21,1712993838936.0
중구,21-24,505771577194.0
중랑구,00-06,55446405855.0
중랑구,06-11,158947471349.0
중랑구,11-14,310052983865.0
중랑구,14-17,309998315682.0
중랑구,17-21,424374730478.0
중랑구,21-24,139692808397.0
