dong,total_sales
종로1·2·3·4가동,1127671487541.0
소공동,1044816847048.0
여의동,753694213597.0
서교동,664898149036.0
방이2동,615278280691.0
역삼1동,597424529822.0
명동,552023600106.0
서초2동,506109956304.0
이태원1동,450449268312.0
논현1동,436840825042.0
대치4동,396686148330.0
압구정동,368621290477.0
삼성2동,361975890704.0
사직동,345151799653.0
가산동,312079389798.0
청담동,303468328528.0
서초1동,301790184664.0
잠실본동,280093627010.0
신촌동,277056711381.0
삼성1동,274665740863.0
영등포동,274184739068.0
구로3동,270839083202.0
신사동,257453195943.0
상계2동,232143649713.0
한강로동,231229826720.0
화양동,226352484653.0
가양1동,219305688645.0
광희동,217896418239.0
수유3동,215692683459.0
서초3동,215178664384.0
논현2동,206340820924.0
을지로동,205298105568.0
연남동,198834091510.0
혜화동,195516900239.0
회현동,193754775872.0
양재2동,177684128174.0
대치2동,173895076054.0
천호2동,172881318090.0
방배2동,172372712165.0
잠원동,169641764729.0
상암동,166958559284.0
잠실6동,165175162346.0
사당2동,159683391812.0
남영동,154503155173.0
도화동,154095939131.0
화곡1동,150956520479.0
군자동,150841583996.0
도곡1동,150175939938.0
가락본동,139007981510.0
한남동,137763895846.0
성수2가3동,136724031833.0
동선동,136487031385.0
노량진1동,131953519224.0
길동,129983982432.0
가회동,129785233097.0
청룡동,127604174886.0
구로5동,126742253293.0
석촌동,124252633749.0
문래동,121932964796.0
신림동,119873406230.0
반포4동,117925264056.0
송파1동,116892026728.0
성수1가2동,115706691825.0
목1동,112376495825.0
필동,111046737288.0
당산1동,109195041227.0
신정4동,107550897777.0
상봉2동,106462893300.0
종로5·6가동,106303349412.0
당산2동,105515514077.0
문정2동,105251275710.0
양재1동,104317889458.0
용신동,103359591491.0
구의1동,101963246659.0
안암동,100057725997.0
장안1동,99912960569.0
사당1동,99865413630.0
구로2동,98207416365.0
갈현1동,97651950016.0
서원동,87910068983.0
공릉1동,86602667461.0
용강동,85544830596.0
장안2동,82739204145.0
신대방2동,82544226133.0
연희동,82103883183.0
제기동,81786992936.0
행당1동,81574129182.0
서강동,81451045580.0
성수2가1동,81176859396.0
시흥1동,80658038173.0
대림3동,80562652545.0
도곡2동,80262849917.0
대방동,79184439861.0
명일2동,78077020252.0
신당동,75683982466.0
회기동,75601157839.0
성내3동,75274847308.0
독산1동,74782697366.0
구의3동,74215897655.0
송중동,74007862663.0
화곡6동,73763373247.0
상계1동,71114191868.0
양평2동,68655089847.0
석관동,68060608437.0
망원1동,67794209926.0
다산동,66062831107.0
삼선동,64874274576.0
방배4동,64259769818.0
방이1동,62408834116.0
가락1동,61954222808.0
면목3·8동,61076201233.0
응암1동,60834838954.0
면목본동,60699479164.0
상도1동,60019627342.0
방배1동,59823014634.0
명일1동,59754130803.0
교남동,59128017911.0
성내1동,58947091738.0
중곡2동,58261798308.0
대조동,56189532443.0
낙성대동,55812366219.0
수서동,55776823724.0
방배본동,55282719982.0
삼청동,55102211721.0
청파동,55055136658.0
불광1동,55022007940.0
중계4동,54297514671.0
목3동,54290612648.0
공덕동,53653574983.0
대학동,52782097200.0
왕십리도선동,51333403534.0
도봉1동,50271451506.0
창5동,48739781108.0
합정동,48212116309.0
전농1동,48068307734.0
미아동,47888685925.0
암사2동,46824054176.0
일원1동,46485880150.0
황학동,45904983656.0
오금동,45073360609.0
이태원2동,44930159117.0
망우본동,44870454471.0
장충동,44031914373.0
녹번동,43924121239.0
마장동,43396684507.0
방화1동,43185480720.0
면목2동,43177740988.0
응암3동,42891835761.0
창신1동,42743663060.0
독산3동,42366494967.0
신내1동,42295069679.0
공항동,41901349337.0
구로4동,41825751727.0
대치1동,41261655414.0
중림동,41009614114.0
방학1동,40331282317.0
종암동,40091458387.0
화곡4동,39586506038.0
사근동,39125520653.0
개포2동,38960341776.0
청운효자동,37064812582.0
월계1동,35838188030.0
충현동,35551597379.0
용문동,35173243291.0
갈현2동,34909755234.0
발산1동,34624224436.0
신길6동,34404971417.0
영등포본동,34355461486.0
신길1동,34323643986.0
대림2동,34227526876.0
홍제1동,34028952203.0
공릉2동,33588652020.0
답십리2동,33450706259.0
신당5동,33154469228.0
성산1동,32973104646.0
흑석동,32905728106.0
오류1동,32763044057.0
상일동,32626209574.0
우이동,32345802278.0
용답동,32256942053.0
이문1동,31921569208.0
월곡2동,31632187354.0
천호1동,31346758674.0
중화2동,31316438216.0
쌍문3동,31120257888.0
원효로1동,30965448643.0
성산2동,30885713711.0
가락2동,30848822675.0
자양4동,30845555180.0
성내2동,30774474911.0
삼전동,30385445832.0
휘경1동,30364184666.0
문정1동,29539064169.0
암사1동,29088828032.0
창4동,28772231432.0
조원동,28366245922.0
거여2동,28196819699.0
후암동,28090253992.0
북가좌2동,28013756529.0
홍은2동,27938564522.0
중앙동,27862433209.0
광장동,27731354194.0
중계본동,27726183929.0
창1동,27374380158.0
신월1동,26907380856.0
개봉3동,26879190328.0
화곡본동,26667892927.0
고척2동,26255573871.0
고척1동,26242762487.0
대흥동,26159844775.0
망원2동,26002818258.0
등촌3동,25956118358.0
신정2동,25827713358.0
홍제3동,25423743386.0
성북동,25273707675.0
중계2·3동,25242286623.0
자양1동,24995281124.0
신정1동,24567925313.0
상도2동,23500723641.0
신원동,23473080941.0
목2동,23419162646.0
독산4동,23263702677.0
불광2동,23082361363.0
남가좌2동,22576637162.0
이촌1동,22267402386.0
용산2가동,21955807553.0
고덕2동,21667436469.0
자양2동,20975345962.0
성수1가1동,20902044543.0
신월4동,20730956788.0
금호2·3가동,20479868869.0
마천2동,20390988869.0
송천동,20331891747.0
방학2동,20262268692.0
방화2동,20052117860.0
수유2동,19852298081.0
화곡8동,19647331264.0
수유1동,19271365749.0
등촌1동,19252915238.0
상도3동,19218308621.0
인헌동,19216090890.0
역삼2동,19064793810.0
둔촌2동,18913794577.0
금호4가동,18693934945.0
양평1동,18359880956.0
면목7동,18338301512.0
장위2동,18108025264.0
신수동,18008187762.0
개봉1동,17967072421.0
상계5동,17829125228.0
개포4동,17805417674.0
중곡1동,17728291898.0
신대방1동,17725629306.0
정릉3동,17618459669.0
상계9동,17574239754.0
가리봉동,17561310653.0
인수동,17240611831.0
우장산동,17233268048.0
염리동,17160204891.0
창신2동,16914883623.0
약수동,16894257287.0
창3동,16257932239.0
세곡동,16218362510.0
쌍문2동,16216219850.0
장지동,16133202741.0
묵1동,15558111523.0
역촌동,15400753224.0
답십리1동,15363378612.0
상도4동,15318605704.0
대림1동,15186607193.0
오류2동,15024354197.0
중곡3동,14852553272.0
사당4동,14824375692.0
중곡4동,14759738703.0
독산2동,14691535061.0
반포1동,14556806466.0
시흥5동,14531706181.0
남현동,14366702908.0
난곡동,14173535571.0
번1동,13859643814.0
화곡3동,13702508900.0
미성동,13624483132.0
서림동,13510591232.0
방화3동,13454896786.0
묵2동,13256283179.0
신월5동,13208572848.0
진관동,12843417208.0
정릉4동,12524514999.0
월곡1동,12265471046.0
마천1동,12149704596.0
숭인2동,11791336127.0
정릉2동,11608046450.0
보라매동,11388607811.0
행운동,11225030633.0
은천동,11086356391.0
시흥3동,11067441217.0
신월7동,10999912326.0
개봉2동,10990230322.0
목4동,10728440707.0
수궁동,10718034300.0
시흥4동,10701848052.0
장위1동,10475538881.0
보광동,10220367466.0
구산동,10052285103.0
면목5동,9889200720.0
길음2동,9498950263.0
도림동,9488159062.0
삼각산동,9145046167.0
신사1동,9084689541.0
창2동,9022801937.0
상봉1동,8847533024.0
북아현동,8839056126.0
고덕1동,8783526523.0
왕십리2동,8639166080.0
이화동,8379129392.0
신월6동,8329585923.0
거여1동,8224648862.0
노량진2동,8194534630.0
아현동,7989010945.0
자양3동,7936158462.0
부암동,7885007845.0
증산동,7884747404.0
삼양동,7689205001.0
쌍문1동,7647356479.0
신월3동,7605832029.0
정릉1동,7551603742.0
홍은1동,7382597477.0
강일동,7226879114.0
응암2동,6939107008.0
옥수동,6913391172.0
천연동,6602850805.0
남가좌1동,6523841258.0
동화동,6436034816.0
풍납1동,6294127665.0
천호3동,6202922093.0
화곡2동,6170311020.0
도봉2동,5876078317.0
효창동,5773539652.0
송정동,5716965991.0
내곡동,5627302856.0
능동,5586349185.0
청구동,5367619657.0
휘경2동,5360524218.0
상계3·4동,5109862614.0
염창동,5102353701.0
신도림동,4995906059.0
신길7동,4972044107.0
평창동,4923224273.0
상계6·7동,4875321568.0
전농2동,4739058318.0
중화1동,4659657308.0
망우3동,4609794273.0
신월2동,4521990880.0
무악동,4437101484.0
신길5동,4366885671.0
시흥2동,4307402793.0
서빙고동,4289812462.0
신사2동,4223700197.0
신길3동,4157564293.0
사당3동,3918022851.0
원효로2동,3865972484.0
보문동,3804576058.0
면목4동,3784511023.0
하계1동,3635697977.0
길음1동,3466413360.0
신정7동,3435522270.0
금호1가동,3106464568.0
번3동,2742090559.0
청량리동,2714263849.0
번2동,2543316959.0
방배3동,2477453215.0
수색동,2189585977.0
삼성동,2055466481.0
신정3동,1928698774.0
월계2동,1839676023.0
신길4동,1781418496.0
방학3동,1776519010.0
구의2동,1612389480.0
숭인1동,1208424818.0
잠실4동,1205848156.0
사당5동,1168372295.0
신내2동,975242364.0
가양3동,960913139.0
이촌2동,748029295.0
이문2동,681334165.0
성현동,594017080.0
반포본동,565587465.0
난향동,557176773.0
송파2동,491556711.0
북가좌1동,420171802.0
상계10동,213071423.0
응봉동,154722558.0
청림동,89446050.0
